percentages,sectors,ticker
6.7352017874023655,0    Healthcare,0    IQV
4.903171809410841,0    Healthcare,0    UNH
8.74722102968024,0    Real Estate,0    PSA
29.580613437240256,0    Technology,0    NVDA
9.929521585636195,0    Financial Services,0    V
9.903129508972404,0    Basic Materials,0    RGLD
5.701503913243849,0    Basic Materials,0    APD
14.208849338967863,0    Consumer Cyclical,0    ULTA
4.592413394679992,0    Consumer Cyclical,0    TJX
5.69837419476599,0    Consumer Cyclical,0    AZO
